Chemical Identifiers,Descriptors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Output,
SMILES,averagemolecularpolarizability_pH_7.4,formalcharge_pH_6.5,tholepolarizability_a_xx_pH_7.4,tholepolarizability_a_yy_pH_7.4,tholepolarizability_a_zz_pH_7.4,atomcount,exactmass,aliphaticatomcount,aromaticatomcount,balabanindex,chainatomcount,dreidingenergy,fusedaliphaticringcount,hararyindex,heteroaromaticringcount,hyperwienerindex,maximalprojectionarea,maximalprojectionradius,maximalprojectionsize,minimalprojectionarea,minimalprojectionradius,ringatomcount,rotatablebondcount,smallestringsize,aliphaticringcountofsize_5,aromaticringcountofsize_5,polarsurfacearea_pH_7.4,asa_ASA_pH_7.4,asa_ASA+_pH_7.4,asa_ASA-_pH_7.4,asa_ASA_H_pH_7.4,asa_ASA_P_pH_7.4,logp,logd_pH_6.5,isoelectricpoint,apKa1,apKb1,averagemicrospeciescharge_Charge_pH_6.5,resonantcount,acceptorcount_pH_7.4,acceptorsitecount_pH_7.4,donorsitecount_pH_6.5,hmopienergy_pH_7.4, IC 50,
CC1(CF)CC(NC(=O)NC2=CC=C3C(=C2)NC(=O)CO3)C4=CC=C(Cl)C=C4O1,40.95,0.0,52.16,41.71,29.0,48.0,419.1,17.0,12.0,1.25,9.0,143.2,0.0,114.0,0.0,10300.0,103.7,9.3,8.59,53.56,5.32,20.0,3.0,6.0,0.0,0.0,88.69,564.2,357.9,206.3,439.0,125.2,2.54,2.54,4.27,11.48,-2.95,0.0,24.0,4.0,6.0,3.0,49.98,120,
CC1(CF)CC(NC(=O)NC2=CC=C3C(=C2)NC(=O)N(CCO)C3)C4=CC=C(C(F)(F)F)C=C4O1,46.93,0.0,45.79,36.39,58.62,59.0,496.2,23.0,12.0,1.22,15.0,159.0,0.0,147.9,0.0,20990.0,121.3,10.46,9.81,59.84,5.24,20.0,6.0,6.0,0.0,0.0,102.9,654.4,417.6,236.7,430.5,223.8,2.45,2.45,5.03,12.58,-2.55,0.0,16.0,4.0,6.0,4.0,66.21,63,
CC1(CF)CC(NC(=O)NC2=CC=C3C(=C2)NC(=O)N(CCO)C3)C4=CC=C(Cl)C=C4O1,45.93,0.0,37.56,44.35,55.87,56.0,462.1,20.0,12.0,1.31,12.0,151.7,0.0,129.9,0.0,15530.0,117.3,10.43,9.81,57.13,5.19,20.0,5.0,6.0,0.0,0.0,102.9,614.0,409.3,204.8,492.8,121.2,2.17,2.17,5.03,12.58,-2.55,0.0,16.0,4.0,6.0,4.0,53.05,1500,
CC1(CF)CC(NC(=O)NCC2=CC=C(NS(C)(=O)=O)C(F)=C2)C3=CC=C(C(F)(F)F)C=C3O1,45.24,0.0,33.53,45.12,57.09,56.0,507.1,22.0,12.0,1.52,18.0,244.2,0.0,139.1,0.0,20400.0,113.2,9.98,8.52,65.73,5.68,16.0,6.0,6.0,0.0,0.0,93.73,683.1,374.4,308.7,415.0,268.1,2.26,2.16,2.62,7.05,-1.79,-0.22,28.0,5.0,8.0,3.0,65.82,256,
CC1(CF)CC(NC(=O)NCC2=CC=C(NS(C)(=O)=O)C(F)=C2)C3=CC=C(Cl)C=C3O1,45.09,0.0,45.06,57.36,32.84,53.0,473.1,19.0,12.0,1.43,15.0,236.9,0.0,121.4,0.0,15090.0,108.5,9.58,8.38,61.02,5.3,16.0,5.0,6.0,0.0,0.0,93.73,642.8,366.1,276.7,477.3,165.5,1.98,1.89,2.62,7.05,-1.79,-0.22,28.0,5.0,8.0,3.0,52.66,615,
CC(C(=O)NCC1=CC=C(C(F)(F)F)N=C1N2CCC(C3=CC=CC=C3)CC2)C4=CC=C(NS(C)(=O)=O)C(F)=C4,56.23,0.0,69.69,57.6,41.39,70.0,578.2,22.0,18.0,1.21,16.0,283.1,0.0,174.4,1.0,34830.0,146.8,9.89,8.09,75.98,7.73,24.0,8.0,6.0,0.0,0.0,88.6,788.4,455.1,333.3,557.3,231.1,4.83,4.74,4.78,7.05,2.51,-0.22,117.0,6.0,9.0,2.0,64.59,2350,
CC(NC(=O)NC=1C=CC=C2NN=CC12)C3=CC=C(C(F)(F)F)C=C3,32.42,0.0,30.46,24.86,41.93,40.0,348.1,10.0,15.0,1.27,10.0,114.8,0.0,88.95,1.0,7322.0,95.87,8.47,7.82,43.98,4.72,15.0,4.0,5.0,0.0,1.0,69.81,543.2,290.1,253.1,366.0,177.2,3.44,3.44,6.71,12.36,1.1,0.0,198.0,2.0,3.0,3.0,48.96,41,
CC(NC(=O)NC=1C=CC=C2NN=CC12)C=3C=CC=C4C=CC=CC34,35.56,0.0,24.21,36.47,45.99,43.0,330.1,6.0,19.0,1.16,6.0,153.0,0.0,91.58,1.0,6308.0,104.8,8.41,7.91,46.26,4.97,19.0,3.0,5.0,0.0,1.0,69.81,533.2,338.1,195.1,460.7,72.52,3.55,3.55,6.71,12.36,1.1,0.0,198.0,2.0,3.0,3.0,38.39,123,
CC(O)C(O)C1=CN=C(N2CCN(C(=O)NC3=NC4=CC(F)=C(F)C=C4S3)CC2C)C(F)=C1,47.22,0.0,42.53,28.89,70.25,55.0,481.1,18.0,15.0,1.21,12.0,193.2,0.0,133.9,2.0,19550.0,122.6,11.26,8.64,46.98,4.42,21.0,4.0,5.0,0.0,1.0,101.8,636.3,429.0,207.2,458.5,177.8,3.13,3.13,7.04,10.55,3.55,0.0,198.0,6.0,7.0,3.0,60.48,146,
CC(O)C(O)C1=CN=C(N2CCN(C(=O)NC3=NC4=CC=C(F)C=C4S3)CC2C)C(F)=C1,47.07,0.0,28.89,42.38,69.93,55.0,463.1,17.0,15.0,1.24,11.0,193.4,0.0,128.0,2.0,17540.0,120.8,11.24,8.64,46.84,4.42,21.0,4.0,5.0,0.0,1.0,101.8,630.0,425.2,204.8,485.7,144.3,2.99,2.98,7.04,10.55,3.55,0.0,198.0,6.0,7.0,3.0,54.99,309,
